slice_name,baseline_state_ratio,ml_state_ratio,ml_action_target_ratio_mean,ml_action_target_ratio_min,ml_action_target_ratio_max,ml_scheduling_weight_mean,ml_admission_guard_factor_mean,target_ratio_delta_vs_baseline_state
URLLC,0.18285714285714286,0.19996571428571433,0.2,0.1999999999999999,0.2,2.3999070639524747,1.0483115521620838,0.017142857142857154
eMBB,0.6371428571428571,0.6994827311656743,0.6996078377902749,0.668985059093814,0.7000000000000001,1.3431779979538367,1.042509550436851,0.06246498064741779
mMTC,0.18,0.10055155454861155,0.10039216220972516,0.1,0.131014940906186,0.9782934814560341,1.0064172160163576,-0.07960783779027483
