time,slice_name,avg_target_ratio,avg_scheduling_weight,avg_admission_guard_factor
4,URLLC,0.19999999999999998,2.6909801125687096,1.0712448207848377
4,eMBB,0.6711698141701206,2.3218245404420523,1.1374676533530221
4,mMTC,0.12883018582987943,1.679510726931879,1.0948287590509655
5,URLLC,0.19999999999999998,2.6999064185476347,1.0697965040542037
5,eMBB,0.6906323207782824,2.3255143606898794,1.15
5,mMTC,0.10936767922171746,1.6825273233598994,1.15
6,URLLC,0.2,2.643502174520512,1.0663566509127969
6,eMBB,0.6995199917941531,2.333091193380869,1.15
6,mMTC,0.10048000820584689,1.6880506706180607,1.15
7,URLLC,0.2,2.4827014931921925,1.0561277788698396
7,eMBB,0.7000000000000001,2.335880909152582,1.15
7,mMTC,0.1,1.6822407928596417,1.15
8,URLLC,0.2,2.4780308476355004,1.0555544133396748
8,eMBB,0.7000000000000001,2.2803724308391984,1.15
8,mMTC,0.1,1.6303694747064463,1.15
9,URLLC,0.2,2.4628145563636177,1.0519721658061811
9,eMBB,0.7000000000000001,2.2692509405146093,1.15
9,mMTC,0.1,1.627087554917825,1.15
10,URLLC,0.2,2.4743668935114487,1.051593115949065
10,eMBB,0.7000000000000001,2.2679710492835015,1.15
10,mMTC,0.1,1.6292790173030374,1.15
11,URLLC,0.2,2.491289030275939,1.0523864383435007
11,eMBB,0.7000000000000001,2.2802040228713443,1.15
11,mMTC,0.1,1.63123122533327,1.15
12,URLLC,0.2,2.4404453757504316,1.0507395653610951
12,eMBB,0.7000000000000001,2.2842538977767917,1.15
12,mMTC,0.1,1.6335498626244174,1.15
13,URLLC,0.2,2.4744542787624733,1.051776284065237
13,eMBB,0.7000000000000001,2.296413278092232,1.15
13,mMTC,0.1,1.6748516469039725,1.15
14,URLLC,0.2,2.4232564284160154,1.0502997397757703
14,eMBB,0.7000000000000001,2.2770957383232244,1.15
14,mMTC,0.1,1.6306689343877012,1.15
15,URLLC,0.2,2.447042255443441,1.0508961033401651
15,eMBB,0.7000000000000001,2.2752070386228094,1.15
15,mMTC,0.1,1.6318638585688685,1.15
16,URLLC,0.2,2.4349172282224885,1.05002811859803
16,eMBB,0.7000000000000001,2.268971990265371,1.15
16,mMTC,0.1,1.6260894977287565,1.15
17,URLLC,0.2,1.8079059907382522,1.0090101636455018
17,eMBB,0.7000000000000001,1.3387913296289384,1.0455651293511659
17,mMTC,0.1,0.9689110538563792,1.00651697810861
18,URLLC,0.2,1.8181697561471473,1.0093931119983839
18,eMBB,0.7000000000000001,1.3391310918705883,1.045802761136824
18,mMTC,0.1,0.9693047877927478,1.0067926168637118
19,URLLC,0.2,1.8118844137008492,1.0091057787309383
19,eMBB,0.7000000000000001,1.338840751886616,1.0456867211224694
19,mMTC,0.1,0.9689168216949338,1.0066390037249764
20,URLLC,0.2,1.8257039716807346,1.0102232067155348
20,eMBB,0.7000000000000001,1.3392850113828902,1.0454359468523977
20,mMTC,0.1,0.9686652674910474,1.006303107335642
21,URLLC,0.2,1.77966769965341,1.0083339016000825
21,eMBB,0.7000000000000001,1.3428875279456889,1.0441348886496467
21,mMTC,0.1,0.9716831428644449,1.0051226869836507
22,URLLC,0.2,1.841111873096872,1.0109507283088637
22,eMBB,0.7000000000000001,1.3396528079399148,1.0456724568352622
22,mMTC,0.1,0.969348433638585,1.0066078794738398
23,URLLC,0.2,1.8200121313973352,1.0099634708787721
23,eMBB,0.7000000000000001,1.3400969344805733,1.045264585825408
23,mMTC,0.1,0.9696650074250773,1.0062157431582923
24,URLLC,0.2,1.7839216867766552,1.0084855078681654
24,eMBB,0.7000000000000001,1.3427278394474327,1.0442441525045838
24,mMTC,0.1,0.9714138622591758,1.005197223257241
25,URLLC,0.2,1.7902157893077406,1.0089398815578636
25,eMBB,0.7000000000000001,1.3434032580876156,1.0441731659108289
25,mMTC,0.1,0.9721276990970319,1.0051836928791669
26,URLLC,0.2,1.8457379410688126,1.011017122699647
26,eMBB,0.7000000000000001,1.3399138212089488,1.04590266664658
26,mMTC,0.1,0.9696379782151981,1.0068562779072354
27,URLLC,0.2,1.7836976121945647,1.0084891784739658
27,eMBB,0.7000000000000001,1.342691191596892,1.0442642751728868
27,mMTC,0.1,0.9715178783685354,1.0052417672892542
28,URLLC,0.2,1.8097136601434922,1.0094325930388288
28,eMBB,0.7000000000000001,1.3407889001595268,1.045092149026833
28,mMTC,0.1,0.969761958826995,1.0059664258684768
29,URLLC,0.2,1.826404298042308,1.0101256772651985
29,eMBB,0.7000000000000001,1.3400986979429361,1.045536251544311
29,mMTC,0.1,0.969295367878417,1.00639425777795
30,URLLC,0.2,1.816424596454761,1.0097261299590028
30,eMBB,0.7000000000000001,1.3409128405441095,1.045251231067372
30,mMTC,0.1,0.9697984349936084,1.0060900843223632
31,URLLC,0.2,1.8242305273190826,1.0100316547356638
31,eMBB,0.7000000000000001,1.3406572355947728,1.0454519209285125
31,mMTC,0.1,0.9693970165227982,1.0062574470876327
32,URLLC,0.2,1.8001766480874033,1.0089943459207285
32,eMBB,0.7000000000000001,1.342851085596028,1.0447610023027383
32,mMTC,0.1,0.9709138851194569,1.005599875924964
33,URLLC,0.2,1.7949129126073047,1.0094163901769766
33,eMBB,0.7000000000000001,1.344161933898919,1.0439864188173889
33,mMTC,0.1,0.9719461356888873,1.0048559743658514
34,URLLC,0.2,1.801229235528639,1.0090215275494778
34,eMBB,0.6997684399387529,1.3380959549973441,1.0438338294686562
34,mMTC,0.10023156006124709,0.9711380740309171,1.0056510315334666
35,URLLC,0.2,1.860852467712436,1.0125112149272308
35,eMBB,0.6999339070294466,1.3413199797453381,1.045313060966988
35,mMTC,0.10006609297055355,0.9700397844687092,1.00616868667935
36,URLLC,0.2,1.7920180730346058,1.008643537189467
36,eMBB,0.6999564145253074,1.3397245731989271,1.0443732633122158
36,mMTC,0.10004358547469268,0.9696241340829961,1.005446227838084
