metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.6198021333333333,0.6172618666666667,-0.002540266666666624,-0.4098512299409033
coverage_ratio,0.9996506666666667,0.9995904,-6.026666666669733e-05,-0.0060287727179392
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.664728066360516,0.7250524151685009,0.060324348807984984,9.075041638947138
total_bandwidth_usage,1675114727.2285,1827132086.2246222,152017358.99612236,9.075041638947152
avg_latency_ms,1.4697656608090384,1.4656197483170568,-0.004145912491981596,-0.2820798309915243
p95_latency_ms,10.358271221340608,11.407793098423081,1.0495218770824728,10.132210816416908
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.0085,0.009,0.0004999999999999987,5.882352941176455
bandwidth_jain_fairness,0.3650875417029181,0.36227053541010823,-0.0028170062928098427,-0.7715974858167358
bandwidth_jain_fairness_min,0.33333333333333337,0.33333333333333337,0.0,0.0
