metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.7602466,0.7594969333333333,-0.0007496666666666485,-0.09860835506093003
coverage_ratio,0.9995275333333334,0.9994704666666666,-5.706666666682736e-05,-0.0057093641509319126
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7231789059905444,0.7681831692886888,0.04500426329814444,6.223116150837076
total_bandwidth_usage,1822410843.0961719,1935821586.6074955,113410743.51132369,6.223116150837059
avg_latency_ms,0.7478762429664998,0.754424124137138,0.006547881170638203,0.8755300401929612
p95_latency_ms,0.4531144986766242,0.46273208289313894,0.009617584216514763,2.1225505351526124
latency_violation_ratio,0.0,5.5126791620725e-07,5.5126791620725e-07,0.0
avg_state_sla_violation_share,0.001,0.001,0.0,0.0
bandwidth_jain_fairness,0.42828920449509517,0.42168163764379074,-0.006607566851304425,-1.542781555536522
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
