metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.8100615,0.8093318333333334,-0.0007296666666666285,-0.09007546546362573
coverage_ratio,0.9991308333333334,0.999105,-2.583333333339155e-05,-0.0025855806338400673
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7013756923699346,0.7511717920882099,0.049796099718275366,7.099775521164033
total_bandwidth_usage,329646575.41386926,353050742.2814587,23404166.867589414,7.099775521164029
avg_latency_ms,0.7488632932622334,0.7499944970925824,0.0011312038303489258,0.1510561193914476
p95_latency_ms,3.1719407338195835,3.7567566657016194,0.5848159318820358,18.437164529799173
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.005999999999999999,0.005,-0.0009999999999999992,-16.666666666666654
bandwidth_jain_fairness,0.4067418171913173,0.4014925350895668,-0.005249282101750519,-1.2905685818090933
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
