metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.8108673333333334,0.8104473333333333,-0.00042000000000008697,-0.051796389216166916
coverage_ratio,0.999698,0.999596,-0.00010199999999993548,-0.010203081330555376
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7018553573997633,0.7524848969478257,0.050629539548062374,7.21367145157015
total_bandwidth_usage,329872017.9778887,353667901.56547815,23795883.587589443,7.21367145157019
avg_latency_ms,0.749874727148433,0.7489243270909738,-0.0009504000574591664,-0.1267411772994772
p95_latency_ms,3.2282299885413446,3.7768627170195015,0.5486327284781569,16.994846415080023
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.006999999999999999,0.005999999999999999,-0.001,-14.285714285714288
bandwidth_jain_fairness,0.40723967655951765,0.401866522263218,-0.005373154296299643,-1.3194083498183806
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
