slice_name,baseline_state_ratio,ml_state_ratio,ml_action_target_ratio_mean,ml_action_target_ratio_min,ml_action_target_ratio_max,ml_scheduling_weight_mean,ml_admission_guard_factor_mean,target_ratio_delta_vs_baseline_state
URLLC,0.16285714285714287,0.1999257142857143,0.19999999999999998,0.1999999999999999,0.2,2.7978344654818668,1.14709136746674,0.037142857142857116
eMBB,0.6371428571428571,0.6934304116314661,0.6935437407690663,0.6591550908204327,0.7000000000000001,1.3493591076806954,1.043811969220541,0.05640088362620921
mMTC,0.2,0.10664387408281971,0.1064562592309336,0.1,0.1408449091795673,0.9763521570211532,1.008160131929227,-0.09354374076906641
