metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.821229,0.8202508333333333,-0.0009781666666667244,-0.11911009799540986
coverage_ratio,0.9994098333333332,0.9993736666666666,-3.6166666666614944e-05,-0.0036188023631895036
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.6981988153177143,0.750268567708577,0.052069752390862645,7.457725686224258
total_bandwidth_usage,328153443.19932574,352626226.8230312,24472783.623705447,7.457725686224258
avg_latency_ms,0.7960804545368858,0.7956872483172096,-0.00039320621967620095,-0.049392773988521786
p95_latency_ms,4.074985622650598,4.636945812396608,0.56196018974601,13.790482759555845
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.016666666666666663,0.014333333333333332,-0.0023333333333333314,-13.99999999999999
bandwidth_jain_fairness,0.40315987027308553,0.39777106017917974,-0.005388810093905794,-1.3366434735321284
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
