metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.8116038333333333,0.8104368333333334,-0.001166999999999918,-0.14378936521368305
coverage_ratio,0.9988698333333335,0.9991036666666666,0.00023383333333315548,0.023409790297983984
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7037090002921309,0.7558253311455001,0.0521163308533692,7.4059491681553205
total_bandwidth_usage,330743230.1373015,355237905.63838506,24494675.501083553,7.40594916815533
avg_latency_ms,0.7434987088221138,0.7424858467030897,-0.0010128621190240716,-0.1362291698702068
p95_latency_ms,3.3055289621352566,3.94487610589634,0.6393471437610834,19.341749870740426
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.007666666666666666,0.008,0.0003333333333333339,4.34782608695653
bandwidth_jain_fairness,0.409207230302571,0.40336759542915873,-0.005839634873412269,-1.427060530942818
bandwidth_jain_fairness_min,0.33333333333333337,0.33333333333333337,0.0,0.0
