base_station_id,slice_name,avg_bandwidth_usage_mbps_baseline,avg_bandwidth_usage_mbps_ml,avg_bandwidth_usage_mbps_delta,avg_bandwidth_usage_mbps_delta_pct,avg_slice_capacity_mbps_baseline,avg_slice_capacity_mbps_ml,avg_slice_capacity_mbps_delta,avg_slice_capacity_mbps_delta_pct,avg_slice_load_ratio_baseline,avg_slice_load_ratio_ml,avg_slice_load_ratio_delta,avg_slice_load_ratio_delta_pct,avg_remaining_capacity_ratio_baseline,avg_remaining_capacity_ratio_ml,avg_remaining_capacity_ratio_delta,avg_remaining_capacity_ratio_delta_pct,avg_request_count_per_window_baseline,avg_request_count_per_window_ml,avg_request_count_per_window_delta,avg_request_count_per_window_delta_pct,total_request_count_baseline,total_request_count_ml,total_request_count_delta,total_request_count_delta_pct,avg_requested_usage_mbps_per_window_baseline,avg_requested_usage_mbps_per_window_ml,avg_requested_usage_mbps_per_window_delta,avg_requested_usage_mbps_per_window_delta_pct,avg_clients_seen_per_window_baseline,avg_clients_seen_per_window_ml,avg_clients_seen_per_window_delta,avg_clients_seen_per_window_delta_pct,avg_state_sla_violation_share_baseline,avg_state_sla_violation_share_ml,avg_state_sla_violation_share_delta,avg_state_sla_violation_share_delta_pct,avg_sla_safety_margin_baseline,avg_sla_safety_margin_ml,avg_sla_safety_margin_delta,avg_sla_safety_margin_delta_pct,avg_sla_breach_count_per_window_baseline,avg_sla_breach_count_per_window_ml,avg_sla_breach_count_per_window_delta,avg_sla_breach_count_per_window_delta_pct
BS_0,URLLC,17.773577443,17.7699720305,-0.003605412500000682,-0.020285238081997097,84.0,84.0,0.0,0.0,0.2115902076547619,0.21154728607738096,-4.292157738094993e-05,-0.0202852380819921,0.7884097923452381,0.7884527139226191,4.292157738094993e-05,0.005444069543235065,52.221,52.2565,0.03550000000000608,0.06798031443290263,104442.0,104513.0,71.0,0.06798031443289099,17.773577443,17.7699720305,-0.003605412500000682,-0.020285238081997097,156.263,156.0115,-0.25149999999999295,-0.16094660924210652,0.001,0.001,0.0,0.0,0.19531543728507048,0.14455019440761432,-0.05076524287745615,-25.99141347100091,0.001,0.001,0.0,0.0
BS_0,eMBB,259.579465365856,287.3048789063786,27.725413540522595,10.680896311056769,260.4,290.3526758071968,29.95267580719684,11.502563674038727,0.9968489453373887,0.9894540779150507,-0.0073948674223379696,-0.741824271061965,0.0031510546626113494,0.010545922084949337,0.007394867422337987,234.679122202523,3.344,3.7205,0.37650000000000006,11.25897129186603,6688.0,7441.0,753.0,11.258971291866029,275.2816385575,304.471154969,29.189516411499994,10.603510123107238,624.3075,622.572,-1.7355000000000018,-0.2779880107158735,0.001,0.001,0.0,0.0,0.21276147528289907,0.16309982464190936,-0.04966165064098971,-23.341467516596655,0.001,0.001,0.0,0.0
BS_0,mMTC,16.0384642385,16.174786489,0.13632225049999747,0.8499707233362078,75.6,45.647324192803204,-29.95267580719679,-39.619941543911104,0.21214899786375663,0.3549329767780095,0.14278397891425287,67.30363110456436,0.7878510021362435,0.6450670232219904,-0.1427839789142531,-18.123221082044317,71.3335,71.79,0.45650000000000546,0.6399517758136156,142667.0,143580.0,913.0,0.639951775813608,16.047118242499998,16.1828968765,0.13577863400000112,0.8461247181465774,291.447,292.1975,0.7504999999999882,0.2575082261954963,0.001,0.001,0.0,0.0,0.21276147528289907,0.16309982464190936,-0.04966165064098971,-23.341467516596655,0.001,0.001,0.0,0.0
BS_1,URLLC,14.3723904355,14.420700625,0.04831018950000043,0.33613190315699754,63.0,69.986,6.986000000000004,11.088888888888896,0.22813318151587303,0.20605354917460317,-0.02207963234126986,-9.678395836395946,0.771866818484127,0.7939464508253968,0.02207963234126986,2.860549490212853,42.242,42.3825,0.14050000000000296,0.33260735760618093,84484.0,84765.0,281.0,0.332607357606174,14.3723904355,14.420700625,0.04831018950000043,0.33613190315699754,129.6745,130.0335,0.35900000000000887,0.27684702852142007,0.001,0.001,0.0,0.0,0.19531543728507048,0.14455019440761432,-0.05076524287745615,-25.99141347100091,0.001,0.001,0.0,0.0
BS_1,eMBB,223.3708164135016,237.91332912544118,14.542512711939594,6.5104801716884335,224.0,240.53654629183447,16.53654629183447,7.382386737426103,0.9971911447031321,0.9890626646526146,-0.008128480050517473,-0.8151376086414561,0.0028088552968679875,0.010937335347385458,0.00812848005051747,289.38763985389807,2.9315,3.0885,0.15699999999999958,5.355619989766317,5863.0,6177.0,314.0,5.355619989766331,239.272689277,255.546244229,16.273554951999984,6.801258848710684,630.5185,631.0345,0.5159999999999627,0.08183740841862097,0.001,0.001,0.0,0.0,0.21276147528289907,0.16309982464190936,-0.04966165064098971,-23.341467516596655,0.001,0.001,0.0,0.0
BS_1,mMTC,17.11750925,16.9827047995,-0.13480445050000256,-0.7875237485266879,63.0,39.47745370816554,-23.52254629183446,-37.33737506640391,0.271706496031746,0.4309940024168957,0.1592875063851497,58.62484287697658,0.728293503968254,0.5690059975831043,-0.15928750638514966,-21.871334224078556,75.9865,75.6525,-0.3340000000000032,-0.43955176248412964,151973.0,151305.0,-668.0,-0.4395517624841255,17.126259497499998,16.9922771395,-0.13398235799999725,-0.782321195235628,310.2995,309.113,-1.1865000000000236,-0.382372514296679,0.001,0.001,0.0,0.0,0.21276147528289907,0.16309982464190936,-0.04966165064098971,-23.341467516596655,0.001,0.001,0.0,0.0
BS_2,URLLC,14.512282424,14.473601913000001,-0.03868051099999903,-0.26653637153608795,63.0,69.986,6.986000000000004,11.088888888888896,0.2303536892698413,0.20681347093650795,-0.023540218333333335,-10.219162717970544,0.7696463107301587,0.7931865290634921,0.023540218333333418,3.0585761284298183,42.7285,42.482,-0.2464999999999975,-0.5768983231332658,85457.0,84964.0,-493.0,-0.5768983231332717,14.512282424,14.473601913000001,-0.03868051099999903,-0.26653637153608795,128.519,127.8505,-0.6685000000000088,-0.5201565527276191,0.001,0.001,0.0,0.0,0.19531543728507048,0.14455019440761432,-0.05076524287745615,-25.99141347100091,0.001,0.001,0.0,0.0
BS_2,eMBB,223.3505766938681,237.39817358624114,14.047596892373036,6.289483152589819,224.0,240.03705414995372,16.03705414995372,7.159399174086481,0.9971007888119112,0.9889755541224049,-0.008125234689506322,-0.8148859955459359,0.0028992111880887608,0.011024445877595063,0.008125234689506303,280.2567375184103,2.883,3.1125,0.22949999999999982,7.960457856399578,5766.0,6225.0,459.0,7.960457856399583,239.12604728099998,255.951708784,16.82566150300002,7.036314819869027,614.155,615.1695,1.0144999999999982,0.16518631290146596,0.001,0.001,0.0,0.0,0.21276147528289907,0.16309982464190936,-0.04966165064098971,-23.341467516596655,0.001,0.001,0.0,0.0
BS_2,mMTC,17.9760997705,18.034081130999997,0.05798136049999769,0.3225469442217329,63.0,39.97694585004628,-23.023054149953722,-36.54453039675194,0.2853349169920635,0.4519470200931864,0.1666121031011229,58.391768122005615,0.7146650830079364,0.5480529799068137,-0.16661210310112273,-23.313312356030202,79.997,80.2655,0.26850000000000307,0.3356375864094942,159994.0,160531.0,537.0,0.3356375864094904,17.984246245999998,18.0420218395,0.05777559350000061,0.3212566860446035,328.658,329.295,0.6370000000000005,0.19381849825654646,0.001,0.001,0.0,0.0,0.21276147528289907,0.16309982464190936,-0.04966165064098971,-23.341467516596655,0.001,0.001,0.0,0.0
BS_3,URLLC,14.8422975245,14.923462712500001,0.08116518800000172,0.5468505658643706,63.0,69.986,6.986000000000004,11.088888888888896,0.23559202419841271,0.21323664796746034,-0.02235537623095238,-9.48902082191244,0.7644079758015874,0.7867633520325398,0.022355376230952406,2.9245346645565418,43.6765,43.9085,0.23199999999999932,0.5311780934827638,87353.0,87817.0,464.0,0.5311780934827653,14.8422975245,14.923462712500001,0.08116518800000172,0.5468505658643706,136.9565,137.0925,0.13599999999999568,0.09930160306374336,0.001,0.001,0.0,0.0,0.19531543728507048,0.14455019440761432,-0.05076524287745615,-25.99141347100091,0.001,0.001,0.0,0.0
