base_station_id,slice_name,avg_bandwidth_usage_mbps_baseline,avg_bandwidth_usage_mbps_ml,avg_bandwidth_usage_mbps_delta,avg_bandwidth_usage_mbps_delta_pct,avg_slice_capacity_mbps_baseline,avg_slice_capacity_mbps_ml,avg_slice_capacity_mbps_delta,avg_slice_capacity_mbps_delta_pct,avg_slice_load_ratio_baseline,avg_slice_load_ratio_ml,avg_slice_load_ratio_delta,avg_slice_load_ratio_delta_pct,avg_remaining_capacity_ratio_baseline,avg_remaining_capacity_ratio_ml,avg_remaining_capacity_ratio_delta,avg_remaining_capacity_ratio_delta_pct,avg_request_count_per_window_baseline,avg_request_count_per_window_ml,avg_request_count_per_window_delta,avg_request_count_per_window_delta_pct,total_request_count_baseline,total_request_count_ml,total_request_count_delta,total_request_count_delta_pct,avg_requested_usage_mbps_per_window_baseline,avg_requested_usage_mbps_per_window_ml,avg_requested_usage_mbps_per_window_delta,avg_requested_usage_mbps_per_window_delta_pct,avg_clients_seen_per_window_baseline,avg_clients_seen_per_window_ml,avg_clients_seen_per_window_delta,avg_clients_seen_per_window_delta_pct,avg_state_sla_violation_share_baseline,avg_state_sla_violation_share_ml,avg_state_sla_violation_share_delta,avg_state_sla_violation_share_delta_pct,avg_sla_safety_margin_baseline,avg_sla_safety_margin_ml,avg_sla_safety_margin_delta,avg_sla_safety_margin_delta_pct,avg_sla_breach_count_per_window_baseline,avg_sla_breach_count_per_window_ml,avg_sla_breach_count_per_window_delta,avg_sla_breach_count_per_window_delta_pct
BS_0,URLLC,12.8578401505,12.7484869535,-0.10935319699999901,-0.8504787407529455,84.0,84.0,0.0,0.0,0.15306952560119047,0.15176770182738097,-0.0013018237738094962,-0.8504787407529351,0.8469304743988095,0.848232298172619,0.0013018237738094962,0.15371081961994473,37.7935,37.5655,-0.22800000000000153,-0.6032783415137564,75587.0,75131.0,-456.0,-0.6032783415137524,12.8578401505,12.7484869535,-0.10935319699999901,-0.8504787407529455,115.2345,115.708,0.47350000000000136,0.4109012491918665,0.001,0.001,0.0,0.0,0.19555883235838842,0.14555409536045022,-0.0500047369979382,-25.570175683140533,0.001,0.001,0.0,0.0
BS_0,eMBB,259.61518957521116,287.67396381529215,28.058774240080993,10.807832271290236,260.4,290.320074684724,29.920074684724,11.49004404175269,0.9969861350814562,0.9908361915410899,-0.006149943540366243,-0.6168534670608812,0.003013864918543835,0.00916380845891016,0.006149943540366326,204.05504913397726,3.3685,3.738,0.36949999999999994,10.969274157636928,6737.0,7476.0,739.0,10.969274157636931,275.8769250535,307.15090918550004,31.273984132000066,11.336208755384378,661.82,661.675,-0.1450000000000955,-0.02190928046902413,0.001,0.001,0.0,0.0,0.21300879010905152,0.16409111261106846,-0.048917677497983064,-22.96509804733376,0.001,0.001,0.0,0.0
BS_0,mMTC,16.1389206105,16.138032667,-0.0008879435000004321,-0.00550187662130722,75.6,45.67992531527604,-29.920074684723957,-39.57681836603698,0.2134777858531746,0.35384093885939655,0.14036315300622196,65.75070677506497,0.7865222141468253,0.6461590611406035,-0.14036315300622182,-17.846050687643935,71.7695,71.752,-0.017499999999998295,-0.024383616996075348,143539.0,143504.0,-35.0,-0.02438361699607772,16.1467823885,16.1456842515,-0.0010981369999996105,-0.006800964883144281,295.2495,295.489,0.23949999999996407,0.08111783423848781,0.001,0.001,0.0,0.0,0.21300879010905152,0.16409111261106846,-0.048917677497983064,-22.96509804733376,0.001,0.001,0.0,0.0
BS_1,URLLC,16.472276863,16.365866354,-0.10641050899999982,-0.6459975745005775,63.0,69.986,6.986000000000004,11.088888888888896,0.2614647121111111,0.23385571516587303,-0.02760899694523808,-10.559358745705408,0.7385352878888889,0.766144284834127,0.027608996945238107,3.738344991497796,48.47,48.19,-0.28000000000000114,-0.5776769135547785,96940.0,96380.0,-560.0,-0.5776769135547761,16.472276863,16.365866354,-0.10641050899999982,-0.6459975745005775,148.304,147.6465,-0.6574999999999989,-0.44334609990290136,0.001,0.001,0.0,0.0,0.19555883235838842,0.14555409536045022,-0.0500047369979382,-25.570175683140533,0.001,0.001,0.0,0.0
BS_1,eMBB,223.34818705277002,237.24920668324697,13.901019630476952,6.223923199874726,224.0,240.37185375337648,16.371853753376485,7.308863282757359,0.9970901207712947,0.9869792922825721,-0.010110828488722579,-1.0140335640775773,0.0029098792287053136,0.013020707717427991,0.010110828488722677,347.46557138803547,2.891,3.083,0.19200000000000017,6.641300588031829,5782.0,6166.0,384.0,6.641300588031823,239.19576784400002,255.08303557,15.887267725999976,6.641951849399534,605.4785,605.426,-0.052500000000009095,-0.008670828113633943,0.001,0.001,0.0,0.0,0.21300879010905152,0.16409111261106846,-0.048917677497983064,-22.96509804733376,0.001,0.001,0.0,0.0
BS_1,mMTC,17.268880298,17.239389964,-0.02949033399999834,-0.17077154680036652,63.0,39.64214624662353,-23.357853753376467,-37.07595833869281,0.2741092110793651,0.4357033253596172,0.1615941142802521,58.95245681235588,0.725890788920635,0.5642966746403828,-0.16159411428025217,-22.26149122522066,76.7445,76.787,0.04250000000000398,0.05537856133013307,153489.0,153574.0,85.0,0.05537856133012789,17.277566605500002,17.249021423000002,-0.028545182500000266,-0.16521529421228462,315.791,316.452,0.6610000000000014,0.20931565497433474,0.001,0.001,0.0,0.0,0.21300879010905152,0.16409111261106846,-0.048917677497983064,-22.96509804733376,0.001,0.001,0.0,0.0
BS_2,URLLC,14.4027374045,14.474487028,0.07174962350000058,0.4981665740679483,63.0,69.986,6.986000000000004,11.088888888888896,0.22861487943650796,0.2068255896452381,-0.021789289791269872,-9.531002463608806,0.7713851205634921,0.7931744103547619,0.021789289791269817,2.8246966671269047,42.293,42.5715,0.2785000000000011,0.6585014068522004,84586.0,85143.0,557.0,0.6585014068521977,14.4027374045,14.474487028,0.07174962350000058,0.4981665740679483,131.7195,131.76,0.04049999999998022,0.03074715588806533,0.001,0.001,0.0,0.0,0.19555883235838842,0.14555409536045022,-0.0500047369979382,-25.570175683140533,0.001,0.001,0.0,0.0
BS_2,eMBB,223.35604822048649,237.45528100571053,14.099232785224046,6.312447277588809,224.0,240.01376918435494,16.013769184354942,7.149004100158455,0.9971252152700288,0.9893095649120401,-0.007815650357988702,-0.7838183448075943,0.002874784729971114,0.010690435087959858,0.007815650357988743,271.8690647166223,2.855,3.116,0.2610000000000001,9.141856392294224,5710.0,6232.0,522.0,9.14185639229422,238.953523695,255.5861571585,16.632633463499985,6.960614435102393,606.032,606.3915,0.3594999999999118,0.059320299918141584,0.001,0.001,0.0,0.0,0.21300879010905152,0.16409111261106846,-0.048917677497983064,-22.96509804733376,0.001,0.001,0.0,0.0
BS_2,mMTC,18.182686085,18.13053819400001,-0.052147890999989954,-0.2867997102089878,63.0,40.00023081564512,-22.999769184354882,-36.507570133896635,0.28861406484126984,0.45420557909131304,0.1655915142500432,57.374720923983446,0.7113859351587302,0.5457944209086869,-0.16559151425004326,-23.277310678499028,80.7815,80.6555,-0.12599999999999056,-0.1559763064562933,161563.0,161311.0,-252.0,-0.15597630645630495,18.1935661,18.141163318999997,-0.05240278100000495,-0.2880291896155803,334.165,333.7545,-0.4105000000000132,-0.12284350545389648,0.001,0.001,0.0,0.0,0.21300879010905152,0.16409111261106846,-0.048917677497983064,-22.96509804733376,0.001,0.001,0.0,0.0
BS_3,URLLC,13.3008349395,13.131303534,-0.169531405499999,-1.274592206212071,63.0,69.986,6.986000000000004,11.088888888888896,0.21112436411904761,0.1876352634293651,-0.02348910068968252,-11.12571767246987,0.7888756358809523,0.8123647365706349,0.023489100689682574,2.977541658192023,39.1085,38.673,-0.43549999999999756,-1.1135686615441593,78217.0,77346.0,-871.0,-1.1135686615441656,13.3008349395,13.131303534,-0.169531405499999,-1.274592206212071,120.4455,119.286,-1.1594999999999942,-0.9626760651082807,0.001,0.001,0.0,0.0,0.19555883235838842,0.14555409536045022,-0.0500047369979382,-25.570175683140533,0.001,0.001,0.0,0.0
