slice_name,baseline_state_ratio,ml_state_ratio,ml_action_target_ratio_mean,ml_action_target_ratio_min,ml_action_target_ratio_max,ml_scheduling_weight_mean,ml_admission_guard_factor_mean,target_ratio_delta_vs_baseline_state
URLLC,0.16285714285714287,0.1999257142857143,0.19999999999999998,0.1999999999999999,0.2,2.7976331830765617,1.1472455761303262,0.037142857142857116
eMBB,0.6371428571428571,0.6922476351624042,0.6923594249523918,0.6581734982825146,0.7000000000000001,1.348336928180827,1.043654085726542,0.055216567809534656
mMTC,0.2,0.10782665055188163,0.10764057504760823,0.1,0.1418265017174853,0.9771067403277259,1.0081716917572432,-0.09235942495239179
