horizon,point_index,fpr,tpr,threshold,roc_auc
1,0,0.0,0.0,inf,0.9905644225372116
1,1,0.0,0.30839002267573695,1.0,0.9905644225372116
1,2,0.0,0.31746031746031744,0.9976078600793084,0.9905644225372116
1,3,0.0,0.562358276643991,0.9880597014925373,0.9905644225372116
1,4,0.0,0.5691609977324263,0.9856675615718457,0.9905644225372116
1,5,0.0,0.5782312925170068,0.9855169728456887,0.9905644225372116
1,6,0.0,0.5850340136054422,0.973576674338226,0.9905644225372116
1,7,0.0,0.6122448979591837,0.9657142857142859,0.9905644225372116
1,8,0.0,0.6190476190476191,0.96,0.9905644225372116
1,9,0.0,0.6213151927437641,0.9046153986071099,0.9905644225372116
1,10,0.0,0.6303854875283447,0.8098826213465407,0.9905644225372116
1,11,0.0,0.6349206349206349,0.7081241705369344,0.9905644225372116
1,12,0.003003003003003003,0.6349206349206349,0.675,0.9905644225372116
1,13,0.003003003003003003,0.6666666666666666,0.5809523809523809,0.9905644225372116
1,14,0.005577005577005577,0.6666666666666666,0.5422349192313426,0.9905644225372116
1,15,0.005577005577005577,0.6780045351473923,0.5416666666666666,0.9905644225372116
1,16,0.006006006006006006,0.6780045351473923,0.4749834933113736,0.9905644225372116
1,17,0.006006006006006006,0.691609977324263,0.46812221672993903,0.9905644225372116
1,18,0.006006006006006006,0.6984126984126984,0.425,0.9905644225372116
1,19,0.006435006435006435,0.6984126984126984,0.3894140804755086,0.9905644225372116
1,20,0.006435006435006435,0.7074829931972789,0.38611111111111107,0.9905644225372116
1,21,0.007293007293007293,0.7074829931972789,0.3595152297568648,0.9905644225372116
1,22,0.009009009009009009,0.7074829931972789,0.35632908516651685,0.9905644225372116
1,23,0.009867009867009866,0.7074829931972789,0.34962079882176184,0.9905644225372116
1,24,0.009867009867009866,0.7142857142857143,0.34631782945736433,0.9905644225372116
1,25,0.010725010725010725,0.7142857142857143,0.3194444444444445,0.9905644225372116
1,26,0.012012012012012012,0.7142857142857143,0.2826005371358703,0.9905644225372116
1,27,0.012441012441012441,0.7142857142857143,0.28260053713587024,0.9905644225372116
1,28,0.015015015015015015,0.7142857142857143,0.27996624927548847,0.9905644225372116
1,29,0.015444015444015444,0.7142857142857143,0.2799662492754884,0.9905644225372116
1,30,0.015444015444015444,0.7301587301587301,0.2799087220988229,0.9905644225372116
1,31,0.01673101673101673,0.7392290249433107,0.2796511627906977,0.9905644225372116
1,32,0.018018018018018018,0.7392290249433107,0.2779493743451726,0.9905644225372116
1,33,0.021021021021021023,0.7392290249433107,0.27655632194049706,0.9905644225372116
1,34,0.021021021021021023,0.8095238095238095,0.275,0.9905644225372116
1,35,0.021021021021021023,0.8299319727891157,0.2713178294573643,0.9905644225372116
1,36,0.021021021021021023,0.8367346938775511,0.2703297361423935,0.9905644225372116
1,37,0.024024024024024024,0.8571428571428571,0.26666666666666666,0.9905644225372116
1,38,0.02445302445302445,0.8571428571428571,0.2621797753510684,0.9905644225372116
1,39,0.027456027456027456,0.8571428571428571,0.25818852070870296,0.9905644225372116
1,40,0.03003003003003003,0.8571428571428571,0.25672109351350636,0.9905644225372116
1,41,0.03003003003003003,0.8707482993197279,0.2519612650984645,0.9905644225372116
1,42,0.03003003003003003,0.873015873015873,0.2519612650984624,0.9905644225372116
1,43,0.03303303303303303,0.873015873015873,0.24244418310007534,0.9905644225372116
1,44,0.03346203346203346,0.8752834467120182,0.23550877192982456,0.9905644225372116
1,45,0.03903903903903904,0.9206349206349206,0.23199999999999998,0.9905644225372116
1,46,0.042042042042042045,0.9206349206349206,0.20013179530450534,0.9905644225372116
1,47,0.04461604461604462,0.9206349206349206,0.17518499168729348,0.9905644225372116
1,48,0.04504504504504504,0.9206349206349206,0.17518499168729346,0.9905644225372116
1,49,0.04804804804804805,0.9206349206349206,0.16292613717556953,0.9905644225372116
1,50,0.04804804804804805,0.9342403628117913,0.14676667029415222,0.9905644225372116
1,51,0.04804804804804805,0.9365079365079365,0.1467666702941522,0.9905644225372116
1,52,0.04804804804804805,0.9523809523809523,0.07522935380187915,0.9905644225372116
1,53,0.05105105105105105,0.9682539682539683,0.075,0.9905644225372116
1,54,0.05105105105105105,1.0,0.035318529098408484,0.9905644225372116
1,55,0.06306306306306306,1.0,0.026114859310746454,0.9905644225372116
1,56,0.10081510081510081,1.0,0.004651162790697674,0.9905644225372116
1,57,0.1021021021021021,1.0,0.004597971816118753,0.9905644225372116
1,58,0.10253110253110254,1.0,0.0045899763341921305,0.9905644225372116
1,59,0.10338910338910338,1.0,0.004571014931258394,0.9905644225372116
1,60,0.1093951093951094,1.0,0.004551292622921316,0.9905644225372116
1,61,0.11068211068211069,1.0,0.004387916761896474,0.9905644225372116
1,62,0.11154011154011154,1.0,0.0043071029123398375,0.9905644225372116
1,63,0.11196911196911197,1.0,0.004265425436759743,0.9905644225372116
1,64,0.11282711282711283,1.0,0.004247335585085508,0.9905644225372116
1,65,0.11497211497211497,1.0,0.0041058828570150405,0.9905644225372116
1,66,0.11754611754611755,1.0,0.004056367199728836,0.9905644225372116
1,67,0.11797511797511798,1.0,0.004039248878206064,0.9905644225372116
1,68,0.11926211926211926,1.0,0.004003037140568952,0.9905644225372116
1,69,0.11969111969111969,1.0,0.004001513417841185,0.9905644225372116
1,70,0.12054912054912055,1.0,0.0039653016802040746,0.9905644225372116
1,71,0.12097812097812098,1.0,0.003964462163233215,0.9905644225372116
1,72,0.12269412269412269,1.0,0.0038797062984613612,0.9905644225372116
1,73,0.12312312312312312,1.0,0.0038419708380964834,0.9905644225372116
1,74,0.148005148005148,1.0,0.003508771929824561,0.9905644225372116
1,75,0.14843414843414843,1.0,0.0018745102120718705,0.9905644225372116
1,76,1.0,1.0,0.0,0.9905644225372116
3,0,0.0,0.0,inf,0.9983198762370992
3,1,0.0,0.35619047619047617,0.891549295774648,0.9983198762370992
3,2,0.0,0.3676190476190476,0.819364249867153,0.9983198762370992
3,3,0.0,0.42095238095238097,0.7123285165538686,0.9983198762370992
3,4,0.0,0.5085714285714286,0.7101539469374385,0.9983198762370992
3,5,0.0,0.5161904761904762,0.7075231933843181,0.9983198762370992
3,6,0.0,0.539047619047619,0.7072175736540258,0.9983198762370992
3,7,0.0,0.5504761904761905,0.7067249433571182,0.9983198762370992
3,8,0.0,0.5561904761904762,0.7057323745005961,0.9983198762370992
3,9,0.0,0.5638095238095238,0.7051900360326764,0.9983198762370992
3,10,0.0,0.5714285714285714,0.7044621150087984,0.9983198762370992
3,11,0.0,0.5733333333333334,0.7039694847118908,0.9983198762370992
3,12,0.0,0.5828571428571429,0.6993322263978126,0.9983198762370992
3,13,0.0,0.5942857142857143,0.6992134629620459,0.9983198762370992
3,14,0.0,0.5980952380952381,0.6987898879298928,0.9983198762370992
3,15,0.0,0.6209523809523809,0.6977060720218382,0.9983198762370992
3,16,0.0,0.6285714285714286,0.6909740610017512,0.9983198762370992
3,17,0.0,0.6419047619047619,0.6879426931127245,0.9983198762370992
3,18,0.0,0.6457142857142857,0.6823474952023842,0.9983198762370992
3,19,0.0,0.6495238095238095,0.6808598179271858,0.9983198762370992
3,20,0.0,0.6571428571428571,0.6743322924491265,0.9983198762370992
3,21,0.0,0.6666666666666666,0.6651685105440209,0.9983198762370992
3,22,0.0,0.6704761904761904,0.6650602038084477,0.9983198762370992
3,23,0.0,0.6819047619047619,0.6031108719547396,0.9983198762370992
3,24,0.0,0.6876190476190476,0.5981813278703416,0.9983198762370992
3,25,0.0,0.6952380952380952,0.5914164970687115,0.9983198762370992
3,26,0.0,0.7028571428571428,0.5892173638123678,0.9983198762370992
3,27,0.0,0.7238095238095238,0.5598054737611117,0.9983198762370992
3,28,0.0,0.7276190476190476,0.5576524486049736,0.9983198762370992
3,29,0.0,0.7409523809523809,0.5501675928511666,0.9983198762370992
3,30,0.0,0.7485714285714286,0.5496025083554207,0.9983198762370992
3,31,0.0,0.7504761904761905,0.5492536217208059,0.9983198762370992
3,32,0.0,0.7542857142857143,0.5476781451488616,0.9983198762370992
3,33,0.0,0.7676190476190476,0.5437636736299923,0.9983198762370992
3,34,0.0,0.7714285714285715,0.5431571289356344,0.9983198762370992
3,35,0.0,0.7790476190476191,0.5337189691168118,0.9983198762370992
3,36,0.0,0.7828571428571428,0.5326822028121583,0.9983198762370992
3,37,0.0,0.7847619047619048,0.5296432409057438,0.9983198762370992
3,38,0.0,0.7885714285714286,0.5212704211913011,0.9983198762370992
3,39,0.0,0.7904761904761904,0.5135499718732885,0.9983198762370992
3,40,0.0,0.7942857142857143,0.5053797464615154,0.9983198762370992
3,41,0.0,0.7980952380952381,0.5039652677231993,0.9983198762370992
3,42,0.0,0.8019047619047619,0.5033864433065658,0.9983198762370992
3,43,0.0,0.8076190476190476,0.496954015845197,0.9983198762370992
3,44,0.0,0.8133333333333334,0.4863514232136287,0.9983198762370992
3,45,0.0,0.8323809523809523,0.4610339414697159,0.9983198762370992
3,46,0.0,0.8380952380952381,0.460390005257151,0.9983198762370992
3,47,0.0,0.8457142857142858,0.45850622841143823,0.9983198762370992
3,48,0.0,0.8495238095238096,0.45738361042767195,0.9983198762370992
3,49,0.0,0.8609523809523809,0.4526440615121811,0.9983198762370992
3,50,0.0004450378282153983,0.8609523809523809,0.45247889536965163,0.9983198762370992
3,51,0.0004450378282153983,0.8647619047619047,0.45228443539135144,0.9983198762370992
3,52,0.0004450378282153983,0.8685714285714285,0.4517110279448378,0.9983198762370992
3,53,0.0013351134846461949,0.8685714285714285,0.44915750894633166,0.9983198762370992
3,54,0.0022251891410769915,0.8685714285714285,0.44486347916145225,0.9983198762370992
3,55,0.0022251891410769915,0.8723809523809524,0.4445885134660713,0.9983198762370992
3,56,0.0026702269692923898,0.8723809523809524,0.44429012032744025,0.9983198762370992
3,57,0.0035603026257231864,0.8723809523809524,0.4433927945790905,0.9983198762370992
3,58,0.0035603026257231864,0.8761904761904762,0.4426822116247132,0.9983198762370992
3,59,0.004895416110369382,0.8761904761904762,0.4391285844101406,0.9983198762370992
3,60,0.004895416110369382,0.878095238095238,0.43767501697213235,0.9983198762370992
3,61,0.006675567423230975,0.878095238095238,0.43220224131275503,0.9983198762370992
3,62,0.0075656430796617715,0.878095238095238,0.43161040692883945,0.9983198762370992
3,63,0.00801068090787717,0.878095238095238,0.42961710377388995,0.9983198762370992
3,64,0.00801068090787717,0.88,0.4018415872638105,0.9983198762370992
3,65,0.008455718736092568,0.88,0.4011857588208729,0.9983198762370992
3,66,0.009790832220738763,0.88,0.3958667145959156,0.9983198762370992
3,67,0.009790832220738763,0.8819047619047619,0.39559402705484864,0.9983198762370992
3,68,0.010235870048954161,0.8819047619047619,0.3942637036682468,0.9983198762370992
3,69,0.010235870048954161,0.8857142857142857,0.38498015347391334,0.9983198762370992
3,70,0.010680907877169559,0.8857142857142857,0.3829404972196959,0.9983198762370992
3,71,0.010680907877169559,0.8895238095238095,0.38122255940015126,0.9983198762370992
3,72,0.011125945705384957,0.8895238095238095,0.37864106485329146,0.9983198762370992
3,73,0.011125945705384957,0.8952380952380953,0.3705822787921774,0.9983198762370992
3,74,0.011125945705384957,0.8990476190476191,0.3680343483321785,0.9983198762370992
3,75,0.011125945705384957,0.9161904761904762,0.3512971833540766,0.9983198762370992
3,76,0.012016021361815754,0.9161904761904762,0.3475398684452573,0.9983198762370992
3,77,0.012016021361815754,0.9276190476190476,0.306573928289501,0.9983198762370992
3,78,0.01290609701824655,0.9276190476190476,0.29479299346221965,0.9983198762370992
3,79,0.013796172674677348,0.9276190476190476,0.28427874116565244,0.9983198762370992
3,80,0.013796172674677348,0.9295238095238095,0.27354934022194666,0.9983198762370992
3,81,0.015131286159323543,0.9295238095238095,0.2662569360766895,0.9983198762370992
3,82,0.015131286159323543,0.9828571428571429,0.15849014189908647,0.9983198762370992
3,83,0.015131286159323543,0.9866666666666667,0.15844198018328443,0.9983198762370992
3,84,0.015131286159323543,0.9885714285714285,0.15420874858437666,0.9983198762370992
3,85,0.01557632398753894,0.9885714285714285,0.15323401350172813,0.9983198762370992
3,86,0.01557632398753894,1.0,0.0918051972040213,0.9983198762370992
3,87,0.021361815754339118,1.0,0.036382491705132206,0.9983198762370992
3,88,0.021806853582554516,1.0,0.02653555715694033,0.9983198762370992
3,89,0.06542056074766354,1.0,0.01404236254061465,0.9983198762370992
3,90,0.07120605251446373,1.0,0.012983893143615238,0.9983198762370992
3,91,0.08989764129951046,1.0,0.011099617487945655,0.9983198762370992
3,92,0.09123275478415666,1.0,0.011047363308617376,0.9983198762370992
3,93,0.10992434356920339,1.0,0.008493954010691732,0.9983198762370992
3,94,0.11481975967957277,1.0,0.008294067192320445,0.9983198762370992
3,95,0.12416555407209613,1.0,0.0032016649330971667,0.9983198762370992
3,96,0.12461059190031153,1.0,0.0031369585954233647,0.9983198762370992
3,97,0.1277258566978193,1.0,0.0024396563546636874,0.9983198762370992
3,98,0.13395638629283488,1.0,0.0009842375419811086,0.9983198762370992
3,99,0.14330218068535824,1.0,0.0007620085784334795,0.9983198762370992
