client_id,slice_name,total_connected_time,total_unconnected_time,total_request_count,total_consume_time,total_usage,avg_served_bandwidth,total_completed_requests,completion_ratio,total_latency_ms,avg_completion_latency_ms,max_completion_latency_ms,completion_latency_violation_count,completion_latency_violation_ratio,total_first_service_latency_ms,avg_first_service_latency_ms,max_first_service_latency_ms,first_service_latency_violation_count,first_service_latency_violation_ratio
0,URLLC,231.75,268.25,927,927,127419639.0,137453.7637540453,927,1.0,56.67995361972163,0.06114342353799528,0.06280846405099444,0,0.0,1.3988761077985539,0.0015090357149930463,0.0015352293577981647,0,0.0
1,mMTC,304.25,195.75,609,608,48305086.0,79449.15460526316,608,0.9983579638752053,153.60238502929272,0.25263550169291565,0.27368879261252127,0,0.0,87.57538646997648,0.14380194822656236,0.16619325825354686,0,0.0
2,URLLC,178.75,321.25,715,715,100225869.0,140176.04055944056,715,1.0,44.2474104031914,0.06188449007439357,0.0637571876923077,0,0.0,1.0759974974221604,0.0015048916047862384,0.0015185465739790554,0,0.0
3,eMBB,485.75,14.25,21,1921,335833454.6457392,174822.20439653264,20,0.9523809523809523,195.38864875944452,9.769432437972226,16.632253485295674,0,0.0,4.89469033155408,0.2330804919787657,0.24148318182101963,0,0.0
4,eMBB,495.0,5.0,18,1961,311311486.84327257,158751.395636549,17,0.9444444444444444,196.23009854459013,11.542946973211185,17.720874988070424,0,0.0,4.097797793023841,0.22765543294576895,0.23130555555555576,0,0.0
5,URLLC,172.75,327.25,691,690,98442195.0,142669.84782608695,690,0.9985528219971056,42.583574159857925,0.06171532486935931,0.06376858195844962,0,0.0,1.0419909200773043,0.0015079463387515258,0.0015169156453688258,0,0.0
6,mMTC,252.5,247.5,505,505,40681314.0,80557.05742574258,505,1.0,135.99783173986538,0.2693026371086443,0.29035866632478663,0,0.0,79.10191417336972,0.1566374538086529,0.1760277777777784,0,0.0
7,eMBB,485.0,15.0,16,1923,282430311.4618181,146869.63674561522,15,0.9375,177.93292066010798,11.862194710673865,19.830253689367435,0,0.0,3.7990002153922027,0.23743751346201267,0.2414555555555556,0,0.0
8,eMBB,490.75,9.25,15,1947,285428987.0149302,146599.3769979097,14,0.9333333333333333,189.55060614240608,13.539329010171864,18.930769983579946,0,0.0,3.607186082032948,0.24047907213552985,0.24293338376117898,0,0.0
9,mMTC,299.0,201.0,598,598,49600222.0,82943.51505016722,598,1.0,159.38167079044416,0.2665245330943882,0.29149230188034203,0,0.0,92.32403645437572,0.15438802082671524,0.17744444444444457,0,0.0
