client_id,slice_name,total_connected_time,total_unconnected_time,total_request_count,total_consume_time,total_usage,avg_served_bandwidth,total_completed_requests,completion_ratio,total_latency_ms,avg_completion_latency_ms,max_completion_latency_ms,completion_latency_violation_count,completion_latency_violation_ratio,total_first_service_latency_ms,avg_first_service_latency_ms,max_first_service_latency_ms,first_service_latency_violation_count,first_service_latency_violation_ratio
0,mMTC,254.75,245.25,510,509,39683114.0,77962.89587426327,509,0.9980392156862745,133.7211275953347,0.2627134137432902,0.2846553458951535,0,0.0,77.17075036832605,0.15131519680063932,0.17328077769002528,0,0.0
1,mMTC,241.5,258.5,483,483,39690357.0,82174.65217391304,483,1.0,126.46028667042874,0.26182253969032865,0.2776778170940171,0,0.0,72.86968864068508,0.15086892058112852,0.16894444444444445,0,0.0
2,eMBB,491.0,9.0,16,1947,309263611.07303125,158841.09454187533,15,0.9375,195.88837764503347,13.059225176335564,18.622044735051304,0,0.0,3.643905868605826,0.22774411678786413,0.23130555555555612,0,0.0
3,mMTC,303.5,196.5,607,607,48632034.0,80118.67215815486,607,1.0,165.95792889149604,0.2734068021276706,0.293887703589744,0,0.0,97.11503743645297,0.1599918244422619,0.18027777777777815,0,0.0
4,eMBB,490.0,10.0,20,1939,384435424.2497302,198264.78816386295,19,0.95,193.2524678141391,10.171182516533637,15.015773943746884,0,0.0,4.437732168099231,0.22188660840496155,0.22650319300469832,0,0.0
5,mMTC,293.25,206.75,587,586,45482249.0,77614.75938566553,586,0.9982964224872232,147.8281628857012,0.25226648956604303,0.26767828633143265,0,0.0,84.3405136542484,0.14368060247742487,0.1647799755937536,0,0.0
6,eMBB,486.0,14.0,23,1920,272223609.50585914,141783.1299509683,22,0.9565217391304348,193.0296430569713,8.774074684407786,20.332709175796825,0,0.0,5.5536634307812855,0.24146362742527328,0.24486737732403063,0,0.0
7,mMTC,276.75,223.25,554,553,44115740.0,79775.29837251356,553,0.9981949458483754,145.13509790371089,0.2624504482888081,0.2819460957264961,0,0.0,83.7706326992663,0.1512105283380258,0.17177777777777814,0,0.0
8,eMBB,493.0,7.0,20,1951,309547644.6865551,158661.01726630193,19,0.95,185.4650093051761,9.761316279219795,18.62165829145611,0,0.0,4.450868948696606,0.22254344743483032,0.2308767054278452,0,0.0
9,eMBB,494.75,5.25,18,1960,309936186.182212,158130.70723582245,17,0.9444444444444444,189.60083895081414,11.15299052651848,18.22011995508764,0,0.0,4.073699788896466,0.22631665493869255,0.23133707677141518,0,0.0
10,mMTC,307.0,193.0,614,613,49457425.0,80680.95432300163,613,0.998371335504886,167.74451258792365,0.27364520813690646,0.2963264922051286,0,0.0,98.36945201927357,0.16021083390761168,0.18175886485470127,0,0.0
11,URLLC,177.0,323.0,708,708,98580684.0,139238.25423728814,708,1.0,43.209787002329435,0.06103077260216022,0.06260899884476175,0,0.0,1.082285144829439,0.0015286513345048574,0.001535912093587647,0,0.0
12,URLLC,191.0,309.0,764,764,107226064.0,140348.25130890054,764,1.0,46.96128447607008,0.06146764983778806,0.06323352487026325,0,0.0,1.157437005685461,0.0015149699027296611,0.001527750031405354,0,0.0
13,mMTC,277.0,223.0,554,553,43515732.0,78690.29294755877,553,0.9981949458483754,142.3494465748373,0.25741310411362983,0.2750771609009121,0,0.0,81.807597488312,0.14766714348070759,0.16628606164626603,0,0.0
14,eMBB,490.75,9.25,21,1941,300953001.34391296,155050.49013081554,20,0.9523809523809523,187.32070752330793,9.366035376165396,18.725535613874133,0,0.0,4.820114108689196,0.2295292432709141,0.23375254357749334,0,0.0
