metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.7628712666666666,0.7627146666666668,-0.0001565999999998402,-0.020527709830270212
coverage_ratio,0.9992976000000001,0.9995459333333333,0.00024833333333318386,0.024850788527179875
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7211056007615603,0.7651225148403987,0.044016914078838454,6.104087117386435
total_bandwidth_usage,1817186113.9191318,1928108737.3978052,110922623.47867346,6.104087117386466
avg_latency_ms,0.7673425246790383,0.7719586937196421,0.004616169040603801,0.6015786812459845
p95_latency_ms,0.46036245931110703,0.4696708853797887,0.009308426068681652,2.0219776570424344
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.001,0.001,0.0,0.0
bandwidth_jain_fairness,0.42598840767252943,0.4199793775932809,-0.006009030079248523,-1.41060882667677
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
