slice_name,avg_bandwidth_usage_mbps_baseline,avg_bandwidth_usage_mbps_ml,avg_bandwidth_usage_mbps_delta,avg_served_bandwidth_baseline,avg_served_bandwidth_ml,avg_served_bandwidth_delta,avg_completion_latency_ms_baseline,avg_completion_latency_ms_ml,avg_completion_latency_ms_delta,avg_first_service_latency_ms_baseline,avg_first_service_latency_ms_ml,avg_first_service_latency_ms_delta,avg_recorded_first_service_latency_ms_baseline,avg_recorded_first_service_latency_ms_ml,avg_recorded_first_service_latency_ms_delta,avg_bandwidth_share_baseline,avg_bandwidth_share_ml,avg_bandwidth_share_delta,zero_bandwidth_window_share_baseline,zero_bandwidth_window_share_ml,zero_bandwidth_window_share_delta,completion_ratio_baseline,completion_ratio_ml,completion_ratio_delta,completion_latency_violation_ratio_baseline,completion_latency_violation_ratio_ml,completion_latency_violation_ratio_delta,first_service_latency_violation_ratio_baseline,first_service_latency_violation_ratio_ml,first_service_latency_violation_ratio_delta,request_latency_violation_event_ratio_baseline,request_latency_violation_event_ratio_ml,request_latency_violation_event_ratio_delta,avg_state_sla_violation_share_baseline,avg_state_sla_violation_share_ml,avg_state_sla_violation_share_delta,avg_sla_safety_margin_baseline,avg_sla_safety_margin_ml,avg_sla_safety_margin_delta,avg_sla_safety_margin_improvement_pct
URLLC,7.601628714499999,7.6081196465000005,0.0064909320000010595,140175.97720395587,139796.1922253169,-379.7849786389852,0.06241572907257725,0.05831663094632889,-0.004099098126248361,0.004350338031779312,0.003019802691504349,-0.0013305353402749635,0.004350338031779312,0.003019802691504349,-0.0013305353402749635,0.024598085571787165,0.02271477353539145,-0.0018833120363957144,0.0,0.0,0.0,0.9994559955742013,0.9994671419515466,1.1146377345339076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.2995667472092395,0.23982553003160684,-0.059741217177632644,-19.942539595659785
eMBB,297.52513783019225,324.5454210126843,27.02028318249205,159607.1204299686,176012.35915700565,16405.23872703704,10.265250829128785,9.255796668839425,-1.0094541602893603,0.23655019216584497,0.20228148341512778,-0.03426870875071719,0.2366685264290595,0.20238267475250404,-0.03428585167655546,0.9440733466813016,0.948431473542754,0.004358126861452427,0.0005,0.0005,0.0,0.9494360902255639,0.9539965778538255,0.004560487628261667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.30672801785656695,0.24761016565174682,-0.05911785220482013,-19.27370463837607
mMTC,9.875793491,9.875646767500001,-0.00014672349999855783,79918.79007302935,80054.04177345576,135.2517004264082,0.26084374344637934,0.2689508195229533,0.00810707607657396,0.15983882434608349,0.16263291658746398,0.002794092241380497,0.15991878373795249,0.16271427372432615,0.0027954899863736615,0.031328567746911264,0.028853752921854575,-0.0024748148250566884,0.0005,0.0005,0.0,0.999001095963538,0.9990033949391909,2.2989756528479788e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.3137413686328262,0.25523593115719007,-0.058505437475636135,-18.647664390125573
