base_station_id,avg_bandwidth_usage_mbps_baseline,avg_bandwidth_usage_mbps_ml,avg_bandwidth_usage_mbps_delta,avg_bandwidth_usage_mbps_delta_pct,avg_capacity_mbps_baseline,avg_capacity_mbps_ml,avg_capacity_mbps_delta,avg_capacity_mbps_delta_pct,avg_load_ratio_baseline,avg_load_ratio_ml,avg_load_ratio_delta,avg_load_ratio_delta_pct,avg_remaining_capacity_ratio_baseline,avg_remaining_capacity_ratio_ml,avg_remaining_capacity_ratio_delta,avg_remaining_capacity_ratio_delta_pct,avg_request_count_per_window_baseline,avg_request_count_per_window_ml,avg_request_count_per_window_delta,avg_request_count_per_window_delta_pct,total_request_count_baseline,total_request_count_ml,total_request_count_delta,total_request_count_delta_pct,avg_requested_usage_mbps_per_window_baseline,avg_requested_usage_mbps_per_window_ml,avg_requested_usage_mbps_per_window_delta,avg_requested_usage_mbps_per_window_delta_pct,avg_clients_seen_per_window_baseline,avg_clients_seen_per_window_ml,avg_clients_seen_per_window_delta,avg_clients_seen_per_window_delta_pct,avg_connected_events_per_window_baseline,avg_connected_events_per_window_ml,avg_connected_events_per_window_delta,avg_connected_events_per_window_delta_pct,avg_disconnected_events_per_window_baseline,avg_disconnected_events_per_window_ml,avg_disconnected_events_per_window_delta,avg_disconnected_events_per_window_delta_pct,avg_state_sla_violation_share_baseline,avg_state_sla_violation_share_ml,avg_state_sla_violation_share_delta,avg_state_sla_violation_share_delta_pct,avg_sla_safety_margin_baseline,avg_sla_safety_margin_ml,avg_sla_safety_margin_delta,avg_sla_safety_margin_delta_pct,avg_sla_breach_count_per_window_baseline,avg_sla_breach_count_per_window_ml,avg_sla_breach_count_per_window_delta,avg_sla_breach_count_per_window_delta_pct
BS_0,53.82031611046691,59.56519668656491,5.744880576097998,10.674185867482745,80.0,80.0,0.0,0.0,0.6727539513808364,0.7445649585820614,0.07181100720122502,10.674185867482752,0.3272460486191636,0.2554350414179386,-0.07181100720122502,-21.944041037083966,47.505,48.1565,0.6514999999999986,1.3714345858330672,95010.0,96313.0,1303.0,1.3714345858330703,55.280767175499996,61.314413728,6.033646552500002,10.914549237974517,429.145,430.348,1.2030000000000314,0.28032483193326996,47.5075,48.1595,0.652000000000001,1.3724148818607609,47.329,47.984,0.6550000000000011,1.383929514673881,0.010166666666666666,0.009333333333333332,-0.0008333333333333335,-8.196721311475413,0.13957671831259583,0.07925227246630501,-0.06032444584629082,-43.21956166872205,0.0305,0.028,-0.0024999999999999988,-8.196721311475406
BS_1,45.66195766572542,48.84932776496706,3.1873700992416403,6.980362345774173,65.0,65.0,0.0,0.0,0.7024916563957756,0.7515281194610317,0.04903646306525611,6.980362345774188,0.2975083436042244,0.2484718805389683,-0.04903646306525611,-16.482382467393705,43.7405,43.927,0.18650000000000233,0.42637829928785076,87481.0,87854.0,373.0,0.4263782992878454,47.138118060000004,50.651422524,3.5133044639999937,7.4532132562612405,428.511,428.554,0.04299999999994952,0.010034748232822382,43.7575,43.937,0.17949999999999733,0.4102153916471401,43.5815,43.763,0.18149999999999977,0.41646111308697453,0.010166666666666666,0.009333333333333332,-0.0008333333333333335,-8.196721311475413,0.13957671831259583,0.07925227246630501,-0.06032444584629082,-43.21956166872205,0.0305,0.028,-0.0024999999999999988,-8.196721311475406
BS_2,45.277492109478835,48.15255841525024,2.875066305771405,6.349879756634113,65.0,65.0,0.0,0.0,0.6965768016842899,0.74080859100385,0.044231789319560066,6.3498797566341105,0.3034231983157102,0.25919140899615,-0.04423178931956018,-14.57758983660084,42.7815,42.916,0.13449999999999562,0.31438822855672577,85563.0,85832.0,269.0,0.314388228556736,46.712596620999996,50.0184503025,3.305853681500004,7.077006890286704,428.19,427.7545,-0.43549999999999045,-0.10170718606225984,42.784,42.9285,0.14450000000000074,0.3377430815258058,42.6105,42.755,0.14450000000000074,0.33911829243965863,0.010166666666666666,0.009333333333333332,-0.0008333333333333335,-8.196721311475413,0.13957671831259583,0.07925227246630501,-0.06032444584629082,-43.21956166872205,0.0305,0.028,-0.0024999999999999988,-8.196721311475406
BS_3,45.355562406600896,48.513722995521505,3.158160588920609,6.963116366209982,65.0,65.0,0.0,0.0,0.6977778831784752,0.7463649691618693,0.04858708598339412,6.963116366210002,0.3022221168215248,0.25363503083813066,-0.04858708598339412,-16.07661493949726,41.664,42.005,0.3410000000000011,0.8184523809523836,83328.0,84010.0,682.0,0.818452380952381,46.840423413500005,50.318113578500004,3.4776901649999985,7.424548950592287,427.11,427.1785,0.0684999999999718,0.01603802299172855,41.674,42.01,0.3359999999999985,0.8062580985746474,41.4955,41.8325,0.3370000000000033,0.812136255738582,0.010166666666666666,0.009333333333333332,-0.0008333333333333335,-8.196721311475413,0.13957671831259583,0.07925227246630501,-0.06032444584629082,-43.21956166872205,0.0305,0.028,-0.0024999999999999988,-8.196721311475406
BS_4,46.21682145371759,48.969109082237054,2.7522876285194613,5.955164249613433,65.0,65.0,0.0,0.0,0.711028022364886,0.7533709089574931,0.0423428865926071,5.955164249613433,0.28897197763511395,0.24662909104250685,-0.0423428865926071,-14.652938647938255,51.9075,51.3385,-0.5689999999999955,-1.0961807060636624,103815.0,102677.0,-1138.0,-1.096180706063671,47.4995615695,50.650179927500005,3.1506183580000027,6.632941976506684,429.151,427.728,-1.4230000000000018,-0.3315849199931963,51.9115,51.3465,-0.5649999999999977,-1.0883908189900076,51.7395,51.1755,-0.5640000000000001,-1.0900762473545358,0.010166666666666666,0.009333333333333332,-0.0008333333333333335,-8.196721311475413,0.13957671831259583,0.07925227246630501,-0.06032444584629082,-43.21956166872205,0.0305,0.028,-0.0024999999999999988,-8.196721311475406
BS_5,45.867757264637056,48.91915793327428,3.0514006686372213,6.652604902899357,65.0,65.0,0.0,0.0,0.7056578040713393,0.7526024297426812,0.046944625671341944,6.65260490289937,0.29434219592866084,0.24739757025731873,-0.04694462567134211,-15.94899620940519,47.292,47.6135,0.32150000000000034,0.6798189968705073,94584.0,95227.0,643.0,0.6798189968705066,47.3073995345,50.655792943,3.3483934085000016,7.077948569246782,428.7755,428.564,-0.2115000000000009,-0.04932651235903192,47.2935,47.619,0.3254999999999981,0.6882552570649203,47.1205,47.4495,0.3290000000000006,0.6982099086384921,0.010166666666666666,0.009333333333333332,-0.0008333333333333335,-8.196721311475413,0.13957671831259583,0.07925227246630501,-0.06032444584629082,-43.21956166872205,0.0305,0.028,-0.0024999999999999988,-8.196721311475406
BS_6,46.332161352721855,49.233647729462184,2.90148637674033,6.262359216639216,65.0,65.0,0.0,0.0,0.7128024823495671,0.7574407342994182,0.04463825194985105,6.262359216639189,0.287197517650433,0.24255926570058184,-0.04463825194985116,-15.542701174800305,51.251,51.5,0.24900000000000233,0.48584417865017726,102502.0,103000.0,498.0,0.48584417865017265,47.648395552500006,50.9643944735,3.315998920999995,6.959308666220161,426.7495,426.6555,-0.09399999999999409,-0.02202697366956355,51.256,51.527,0.2710000000000008,0.5287185890432355,51.087,51.361,0.2739999999999938,0.5363399690723546,0.010166666666666666,0.009333333333333332,-0.0008333333333333335,-8.196721311475413,0.13957671831259583,0.07925227246630501,-0.06032444584629082,-43.21956166872205,0.0305,0.028,-0.0024999999999999988,-8.196721311475406
