slice_name,baseline_state_ratio,ml_state_ratio,ml_action_target_ratio_mean,ml_action_target_ratio_min,ml_action_target_ratio_max,ml_scheduling_weight_mean,ml_admission_guard_factor_mean,target_ratio_delta_vs_baseline_state
URLLC,0.16285714285714287,0.1999257142857143,0.19999999999999998,0.1999999999999999,0.2,2.7976701902744594,1.1473359474777847,0.037142857142857116
eMBB,0.6371428571428571,0.6928394984890461,0.6929508805971293,0.6594895933761272,0.7000000000000001,1.349014507405669,1.0435162020001956,0.05580802345427216
mMTC,0.2,0.10723478722523958,0.10704911940287072,0.1,0.1405104066238728,0.9767779472107112,1.0079812650312048,-0.09295088059712929
