metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.8164208333333334,0.8150856666666666,-0.001335166666666776,-0.16353902450228702
coverage_ratio,0.9992106666666667,0.9989274999999999,-0.0002831666666668342,-0.028339035612126594
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.6990044007730821,0.7493674906537814,0.05036308988069926,7.204974650374002
total_bandwidth_usage,328532068.36334854,352202720.6072773,23670652.24392873,7.204974650374027
avg_latency_ms,0.7818284152634908,0.781769806640316,-5.8608623174749575e-05,-0.0074963536794703705
p95_latency_ms,3.72630760571919,4.424580879207844,0.6982732734886539,18.739013183370425
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.010166666666666664,0.009333333333333332,-0.0008333333333333318,-8.196721311475397
bandwidth_jain_fairness,0.4040990490683262,0.3986758348642907,-0.00542321420403552,-1.342050721608738
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
