base_station_id,avg_bandwidth_usage_mbps_baseline,avg_bandwidth_usage_mbps_ml,avg_bandwidth_usage_mbps_delta,avg_bandwidth_usage_mbps_delta_pct,avg_capacity_mbps_baseline,avg_capacity_mbps_ml,avg_capacity_mbps_delta,avg_capacity_mbps_delta_pct,avg_load_ratio_baseline,avg_load_ratio_ml,avg_load_ratio_delta,avg_load_ratio_delta_pct,avg_remaining_capacity_ratio_baseline,avg_remaining_capacity_ratio_ml,avg_remaining_capacity_ratio_delta,avg_remaining_capacity_ratio_delta_pct,avg_request_count_per_window_baseline,avg_request_count_per_window_ml,avg_request_count_per_window_delta,avg_request_count_per_window_delta_pct,total_request_count_baseline,total_request_count_ml,total_request_count_delta,total_request_count_delta_pct,avg_requested_usage_mbps_per_window_baseline,avg_requested_usage_mbps_per_window_ml,avg_requested_usage_mbps_per_window_delta,avg_requested_usage_mbps_per_window_delta_pct,avg_clients_seen_per_window_baseline,avg_clients_seen_per_window_ml,avg_clients_seen_per_window_delta,avg_clients_seen_per_window_delta_pct,avg_connected_events_per_window_baseline,avg_connected_events_per_window_ml,avg_connected_events_per_window_delta,avg_connected_events_per_window_delta_pct,avg_disconnected_events_per_window_baseline,avg_disconnected_events_per_window_ml,avg_disconnected_events_per_window_delta,avg_disconnected_events_per_window_delta_pct,avg_state_sla_violation_share_baseline,avg_state_sla_violation_share_ml,avg_state_sla_violation_share_delta,avg_state_sla_violation_share_delta_pct,avg_sla_safety_margin_baseline,avg_sla_safety_margin_ml,avg_sla_safety_margin_delta,avg_sla_safety_margin_delta_pct,avg_sla_breach_count_per_window_baseline,avg_sla_breach_count_per_window_ml,avg_sla_breach_count_per_window_delta,avg_sla_breach_count_per_window_delta_pct
BS_0,290.53154865333164,318.1104942054122,27.57894555208054,9.4925820207527,420.0,420.0,0.0,0.0,0.6917417825079324,0.7574059385843148,0.06566415607638243,9.492582020752728,0.30825821749206755,0.24259406141568518,-0.06566415607638237,-21.301672542783752,120.1495,119.9355,-0.21399999999999864,-0.17811143616910485,240299.0,239871.0,-428.0,-0.178111436169106,307.088703004,335.72433494800003,28.63563194400001,9.324873127497305,1070.3955,1068.695,-1.7005000000001473,-0.1588665124246269,120.1535,119.943,-0.21049999999999613,-0.17519256617576362,119.744,119.5285,-0.2155000000000058,-0.17996726349546183,0.001,0.001,0.0,0.0,0.20861534975147855,0.1591706752550256,-0.049444674496452956,-23.701359729931625,0.003,0.003,0.0,0.0
BS_1,257.28608379525105,270.891694960589,13.605611165337962,5.288125562269175,350.0,350.0,0.0,0.0,0.7351030965578601,0.7739762713159686,0.038873174758108475,5.288125562269178,0.26489690344213995,0.22602372868403148,-0.038873174758108475,-14.674831699797252,132.012,132.421,0.4089999999999918,0.30982031936490007,264024.0,264842.0,818.0,0.3098203193649062,271.91366976349997,287.3129570615,15.399287298000047,5.663300161184892,1072.608,1072.508,-0.09999999999990905,-0.009323070497321393,132.0355,132.442,0.4064999999999941,0.3078717466135956,131.6325,132.042,0.4095000000000084,0.31109338499231454,0.001,0.001,0.0,0.0,0.20861534975147855,0.1591706752550256,-0.049444674496452956,-23.701359729931625,0.003,0.003,0.0,0.0
BS_2,254.94956341282895,268.73807016235213,13.78850674952318,5.408327264791601,350.0,350.0,0.0,0.0,0.7284273240366541,0.7678230576067204,0.039395733570066316,5.408327264791613,0.2715726759633459,0.23217694239327955,-0.039395733570066344,-14.506515955744964,122.231,122.175,-0.055999999999997385,-0.04581489147597368,244462.0,244350.0,-112.0,-0.04581489147597581,270.6049138125,287.50878372399995,16.903869911499953,6.246697324651137,1069.4185,1069.806,0.3875000000000455,0.03623464527685331,122.2585,122.205,-0.05349999999999966,-0.04375973858668286,121.853,121.8015,-0.05149999999999011,-0.04226403945737086,0.001,0.001,0.0,0.0,0.20861534975147855,0.1591706752550256,-0.049444674496452956,-23.701359729931625,0.003,0.003,0.0,0.0
BS_3,254.9195163794254,269.62205912532005,14.702542745894647,5.76752339511393,350.0,350.0,0.0,0.0,0.7283414753697869,0.7703487403580576,0.042007264988270676,5.767523395113965,0.27165852463021317,0.22965125964194255,-0.04200726498827062,-15.463260372724076,122.205,122.7605,0.555499999999995,0.4545640522073524,244410.0,245521.0,1111.0,0.4545640522073565,270.846567482,287.1852562305,16.338688748499976,6.032451841792611,1071.609,1072.1055,0.4964999999999691,0.04633219765791152,122.222,122.772,0.5500000000000114,0.45000081818331505,121.822,122.3665,0.5444999999999993,0.44696360263334967,0.001,0.001,0.0,0.0,0.20861534975147855,0.1591706752550256,-0.049444674496452956,-23.701359729931625,0.003,0.003,0.0,0.0
BS_4,253.10227476370392,267.91614736174046,14.81387259803654,5.852919580381788,350.0,350.0,0.0,0.0,0.7231493564677255,0.7654747067478299,0.04232535028010442,5.8529195803817915,0.2768506435322745,0.23452529325217006,-0.04232535028010445,-15.28815311392631,114.8715,114.908,0.03650000000000375,0.03177463513578543,229743.0,229816.0,73.0,0.03177463513578216,270.14125635299996,285.9139893455,15.772732992500039,5.838698318589826,1071.3525,1071.843,0.49050000000011096,0.045783250610803725,114.8835,114.924,0.04050000000000864,0.0352531042316857,114.4675,114.509,0.041499999999999204,0.03625483215759862,0.001,0.001,0.0,0.0,0.20861534975147855,0.1591706752550256,-0.049444674496452956,-23.701359729931625,0.003,0.003,0.0,0.0
BS_5,254.08141134816762,268.520505624715,14.439094276547365,5.682861331701862,350.0,350.0,0.0,0.0,0.7259468895661931,0.7672014446420427,0.04125455507584952,5.682861331701849,0.2740531104338068,0.23279855535795732,-0.04125455507584949,-15.053489088500557,118.89,118.542,-0.347999999999999,-0.29270754478930017,237780.0,237084.0,-696.0,-0.29270754478930106,270.39678646149997,286.971350549,16.57456408750005,6.129719330026133,1069.9005,1065.8005,-4.099999999999909,-0.38321320534011427,118.9295,118.5695,-0.35999999999999943,-0.30270033927662976,118.5195,118.161,-0.35849999999999227,-0.30248187007200694,0.001,0.001,0.0,0.0,0.20861534975147855,0.1591706752550256,-0.049444674496452956,-23.701359729931625,0.003,0.003,0.0,0.0
BS_6,254.2499182433366,269.1109922338415,14.861073990504906,5.845065395962772,350.0,350.0,0.0,0.0,0.7264283378381046,0.7688885492395471,0.042460211401442516,5.845065395962762,0.27357166216189543,0.23111145076045292,-0.042460211401442516,-15.52069065410555,119.2955,119.635,0.339500000000001,0.28458743204898845,238591.0,239270.0,679.0,0.2845874320489876,270.652083069,286.55172001849996,15.89963694949995,5.874566627830645,1068.076,1071.4995,3.4234999999998763,0.3205296252326498,119.3265,119.659,0.33250000000001023,0.27864724097330457,118.917,119.245,0.32800000000000296,0.27582263259248296,0.001,0.001,0.0,0.0,0.20861534975147855,0.1591706752550256,-0.049444674496452956,-23.701359729931625,0.003,0.003,0.0,0.0
