slice_name,service_family,priority_rank,latency_tolerance_ms_ref,qos_class_ref,observed_init_capacity_median_bps,observed_init_capacity_max_bps,min_connected_ratio,min_coverage_ratio,max_block_ratio,max_handover_ratio,max_avg_slice_load_ratio,max_avg_latency_ms,max_p95_latency_ms,max_latency_violation_ratio,pass_rule,train_comment
URLLC,URLLC,1,5,1,91000000,117600000,0.55,0.98,0.1,0.06,0.9,2.5,5,0.05,connected_ratio >= 0.55 AND coverage_ratio >= 0.98 AND block_ratio <= 0.1 AND handover_ratio <= 0.06 AND avg_slice_load_ratio <= 0.9 AND avg_latency_ms <= 2.5 AND p95_latency_ms <= 5 AND latency_violation_ratio <= 0.05,"SLA v2 for heavy-realistic-urllc1ms; latency targets adapted from 5G SLA KPI handbook; unsupported handbook KPIs such as jitter, packet loss, and availability are tracked in long-form profile."
eMBB,eMBB,2,30,4,196000000,231000000,0.55,0.98,0.16,0.1,0.92,30,40,0.08,connected_ratio >= 0.55 AND coverage_ratio >= 0.98 AND block_ratio <= 0.16 AND handover_ratio <= 0.1 AND avg_slice_load_ratio <= 0.92 AND avg_latency_ms <= 30 AND p95_latency_ms <= 40 AND latency_violation_ratio <= 0.08,"SLA v2 for heavy-realistic-urllc1ms; latency targets adapted from 5G SLA KPI handbook; unsupported handbook KPIs such as jitter, packet loss, and availability are tracked in long-form profile."
mMTC,mMTC,3,100,8,63000000,71400000,0.55,0.98,0.22,0.12,0.92,120,150,0.1,connected_ratio >= 0.55 AND coverage_ratio >= 0.98 AND block_ratio <= 0.22 AND handover_ratio <= 0.12 AND avg_slice_load_ratio <= 0.92 AND avg_latency_ms <= 120 AND p95_latency_ms <= 150 AND latency_violation_ratio <= 0.1,"SLA v2 for heavy-realistic-urllc1ms; latency targets adapted from 5G SLA KPI handbook; unsupported handbook KPIs such as jitter, packet loss, and availability are tracked in long-form profile."
