effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
21,eMBB,0.0,0.0,0.0,1.0,0.9940665156490048,0.45,0.45,decrease_margin_after_safe_window
21,mMTC,0.0,0.0,0.0,539.0,0.4132097945286775,0.45,0.45,decrease_margin_after_safe_window
22,URLLC,0.0,0.0,0.0,283.0,0.19959163095238092,0.45,0.45,decrease_margin_after_safe_window
22,eMBB,0.0,0.0,0.0,0.0,0.9940602260564351,0.45,0.45,decrease_margin_after_safe_window
22,mMTC,0.0,0.0,0.0,541.0,0.39955116083574044,0.45,0.45,decrease_margin_after_safe_window
23,URLLC,0.0,0.0,0.0,299.0,0.2024589744897959,0.45,0.45,decrease_margin_after_safe_window
23,eMBB,0.0,0.0,0.0,0.0,0.9940533178059097,0.45,0.45,decrease_margin_after_safe_window
23,mMTC,0.0,0.0,0.0,545.0,0.4017296653057883,0.45,0.45,decrease_margin_after_safe_window
24,URLLC,0.0,0.0,0.0,289.0,0.19792429829931973,0.45,0.45,decrease_margin_after_safe_window
24,eMBB,0.0,0.0,0.0,1.0,0.9940509144127595,0.45,0.45,decrease_margin_after_safe_window
24,mMTC,0.0,0.0,0.0,509.0,0.4036836384500081,0.45,0.45,decrease_margin_after_safe_window
25,URLLC,0.0,0.0,0.0,329.0,0.22929066292517006,0.45,0.45,decrease_margin_after_safe_window
25,eMBB,0.0,0.0,0.0,0.0,0.9940539943228474,0.45,0.45,decrease_margin_after_safe_window
25,mMTC,0.0,0.0,0.0,568.0,0.3810618498642167,0.45,0.45,decrease_margin_after_safe_window
26,URLLC,0.0,0.0,0.0,275.0,0.18089283299319728,0.45,0.45,decrease_margin_after_safe_window
26,eMBB,0.0,0.0,0.0,0.0,0.9940519668901217,0.45,0.45,decrease_margin_after_safe_window
26,mMTC,0.0,0.0,0.0,529.0,0.41103914347995374,0.45,0.45,decrease_margin_after_safe_window
27,URLLC,0.0,0.0,0.0,304.0,0.22118707346938773,0.45,0.45,decrease_margin_after_safe_window
27,eMBB,0.0,0.0,0.0,0.0,0.9940518464896868,0.45,0.45,decrease_margin_after_safe_window
27,mMTC,0.0,0.0,0.0,562.0,0.38699701789294794,0.45,0.45,decrease_margin_after_safe_window
28,URLLC,0.0,0.0,0.0,286.0,0.19376277278911563,0.45,0.45,decrease_margin_after_safe_window
28,eMBB,0.0,0.0,0.0,0.0,0.9940521414889468,0.45,0.45,decrease_margin_after_safe_window
28,mMTC,0.0,0.0,0.0,526.0,0.401309345450588,0.45,0.45,decrease_margin_after_safe_window
29,URLLC,0.0,0.0,0.0,297.0,0.20069590476190477,0.45,0.45,decrease_margin_after_safe_window
29,eMBB,0.0,0.0,0.0,0.0,0.994051824331971,0.45,0.45,decrease_margin_after_safe_window
29,mMTC,0.0,0.0,0.0,530.0,0.3832658133221289,0.45,0.45,decrease_margin_after_safe_window
30,URLLC,0.0,0.0,0.0,283.0,0.1890729204081633,0.45,0.45,decrease_margin_after_safe_window
30,eMBB,0.0,0.0,0.0,0.0,0.9940534555935007,0.45,0.45,decrease_margin_after_safe_window
30,mMTC,0.0,0.0,0.0,501.0,0.3871538103765288,0.45,0.45,decrease_margin_after_safe_window
31,URLLC,0.0,0.0,0.0,312.0,0.21481595816326532,0.45,0.45,decrease_margin_after_safe_window
31,eMBB,0.0,0.0,0.0,0.0,0.994056295887961,0.45,0.45,decrease_margin_after_safe_window
31,mMTC,0.0,0.0,0.0,523.0,0.35902734859028484,0.45,0.45,decrease_margin_after_safe_window
32,URLLC,0.0,0.0,0.0,327.0,0.22936980340136054,0.45,0.45,decrease_margin_after_safe_window
32,eMBB,0.0,0.0,0.0,0.0,0.9940593085770714,0.45,0.45,decrease_margin_after_safe_window
32,mMTC,0.0,0.0,0.0,565.0,0.3764185301030339,0.45,0.45,decrease_margin_after_safe_window
33,URLLC,0.0,0.0,0.0,274.0,0.18693554523809525,0.45,0.45,decrease_margin_after_safe_window
33,eMBB,0.0,0.0,0.0,0.0,0.9940547043333935,0.45,0.45,decrease_margin_after_safe_window
33,mMTC,0.0,0.0,0.0,546.0,0.4158378798849408,0.45,0.45,decrease_margin_after_safe_window
34,URLLC,0.0,0.0,0.0,326.0,0.22533628639455783,0.45,0.45,decrease_margin_after_safe_window
34,eMBB,0.0,0.0,0.0,0.0,0.9938907887903036,0.45,0.45,decrease_margin_after_safe_window
34,mMTC,0.0,0.0,0.0,543.0,0.41300600585531155,0.45,0.45,decrease_margin_after_safe_window
35,URLLC,0.0,0.0,0.0,278.0,0.19099022108843536,0.45,0.45,decrease_margin_after_safe_window
35,eMBB,0.0,0.0,0.0,1.0,0.9940413042596178,0.45,0.45,decrease_margin_after_safe_window
