metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.7578092,0.7572277999999999,-0.0005814000000000652,-0.07672115883524049
coverage_ratio,0.9994379999999999,0.9991607333333333,-0.00027726666666660904,-0.027742257815553246
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7244109645506419,0.7689985136699682,0.044587549119326275,6.155007489013408
total_bandwidth_usage,1825515630.6676173,1937876254.44832,112360623.78070259,6.155007489013429
avg_latency_ms,0.7386692394085768,0.7442567016092552,0.005587462200678406,0.7564227535929432
p95_latency_ms,0.45563462807434596,0.4654059937981924,0.009771365723846459,2.144561699610782
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.001,0.001,0.0,0.0
bandwidth_jain_fairness,0.4296895461791206,0.4232643436697635,-0.006425202509357075,-1.4953127360186376
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
