base_station_id,avg_bandwidth_usage_mbps_baseline,avg_bandwidth_usage_mbps_ml,avg_bandwidth_usage_mbps_delta,avg_bandwidth_usage_mbps_delta_pct,avg_capacity_mbps_baseline,avg_capacity_mbps_ml,avg_capacity_mbps_delta,avg_capacity_mbps_delta_pct,avg_load_ratio_baseline,avg_load_ratio_ml,avg_load_ratio_delta,avg_load_ratio_delta_pct,avg_remaining_capacity_ratio_baseline,avg_remaining_capacity_ratio_ml,avg_remaining_capacity_ratio_delta,avg_remaining_capacity_ratio_delta_pct,avg_request_count_per_window_baseline,avg_request_count_per_window_ml,avg_request_count_per_window_delta,avg_request_count_per_window_delta_pct,total_request_count_baseline,total_request_count_ml,total_request_count_delta,total_request_count_delta_pct,avg_requested_usage_mbps_per_window_baseline,avg_requested_usage_mbps_per_window_ml,avg_requested_usage_mbps_per_window_delta,avg_requested_usage_mbps_per_window_delta_pct,avg_clients_seen_per_window_baseline,avg_clients_seen_per_window_ml,avg_clients_seen_per_window_delta,avg_clients_seen_per_window_delta_pct,avg_connected_events_per_window_baseline,avg_connected_events_per_window_ml,avg_connected_events_per_window_delta,avg_connected_events_per_window_delta_pct,avg_disconnected_events_per_window_baseline,avg_disconnected_events_per_window_ml,avg_disconnected_events_per_window_delta,avg_disconnected_events_per_window_delta_pct,avg_state_sla_violation_share_baseline,avg_state_sla_violation_share_ml,avg_state_sla_violation_share_delta,avg_state_sla_violation_share_delta_pct,avg_sla_safety_margin_baseline,avg_sla_safety_margin_ml,avg_sla_safety_margin_delta,avg_sla_safety_margin_delta_pct,avg_sla_breach_count_per_window_baseline,avg_sla_breach_count_per_window_ml,avg_sla_breach_count_per_window_delta,avg_sla_breach_count_per_window_delta_pct
BS_0,292.60886401961096,319.47501774997386,26.866153730362896,9.181592574229843,420.0,420.0,0.0,0.0,0.6966877714752641,0.7606548041666044,0.0639670326913403,9.181592574229853,0.30331222852473594,0.23934519583339572,-0.06396703269134021,-21.089500084604577,128.0615,127.62,-0.4414999999999907,-0.3447562304049154,256123.0,255240.0,-883.0,-0.34475623040492265,308.0794812955,336.5337354675,28.45425417199999,9.236010802260337,1073.1185,1069.451,-3.667500000000018,-0.34176095184269195,128.0675,127.6255,-0.44199999999999307,-0.34513049758915654,127.6545,127.2335,-0.42099999999999227,-0.32979644274192627,0.001,0.001,0.0,0.0,0.20586114452483056,0.15703741924118822,-0.048823725283642344,-23.716823976830327,0.003,0.003,0.0,0.0
BS_1,256.8057533381199,270.8506754589005,14.044922120780598,5.469083904163368,350.0,350.0,0.0,0.0,0.7337307238231998,0.7738590727397158,0.040128348916515955,5.469083904163362,0.2662692761768002,0.22614092726028423,-0.040128348916515955,-15.07058925186364,128.3865,128.87,0.48349999999999227,0.37659722790168143,256773.0,257740.0,967.0,0.3765972279016875,272.1397823175,287.865765644,15.7259833265,5.778641840814296,1072.877,1071.055,-1.821999999999889,-0.1698237542607297,128.4025,128.898,0.4954999999999927,0.3858959132415589,128.004,128.4945,0.49049999999999727,0.38319115027655176,0.001,0.001,0.0,0.0,0.20586114452483056,0.15703741924118822,-0.048823725283642344,-23.716823976830327,0.003,0.003,0.0,0.0
BS_2,256.3244961815228,270.17339873140605,13.848902549883235,5.402879067818698,350.0,350.0,0.0,0.0,0.7323557033757795,0.7719239963754457,0.039568292999666244,5.402879067818679,0.26764429662422057,0.22807600362455424,-0.03956829299966633,-14.783910398517186,126.9905,127.13,0.13949999999999818,0.10985073686614209,253981.0,254260.0,279.0,0.10985073686614352,271.229406921,287.10626153,15.876854608999963,5.853662694334746,1071.6845,1070.17,-1.5144999999999982,-0.14131957679708887,127.0005,127.164,0.1634999999999991,0.128739650631296,126.598,126.7685,0.1705000000000041,0.1346782729585018,0.001,0.001,0.0,0.0,0.20586114452483056,0.15703741924118822,-0.048823725283642344,-23.716823976830327,0.003,0.003,0.0,0.0
BS_3,255.78073406526278,269.64100200567094,13.860267940408164,5.418808414582038,350.0,350.0,0.0,0.0,0.7308020973293221,0.7704028628733456,0.039600765544023475,5.418808414582059,0.2691979026706779,0.22959713712665444,-0.03960076554402345,-14.710651587976475,126.126,126.632,0.5060000000000002,0.4011861154718299,252252.0,253264.0,1012.0,0.40118611547182975,271.5722484135,287.311306043,15.739057629499996,5.79553239384588,1069.584,1070.0175,0.4334999999998672,0.04052977606245673,126.132,126.6465,0.5144999999999982,0.407906003234705,125.7355,126.2475,0.5120000000000005,0.40720401159577085,0.001,0.001,0.0,0.0,0.20586114452483056,0.15703741924118822,-0.048823725283642344,-23.716823976830327,0.003,0.003,0.0,0.0
BS_4,255.3990308284428,269.82467167110036,14.425640842657572,5.648275483217318,350.0,350.0,0.0,0.0,0.7297115166526936,0.7709276333460011,0.04121611669330749,5.648275483217337,0.2702884833473064,0.22907236665399888,-0.04121611669330749,-15.248935575381866,122.8405,123.386,0.5454999999999899,0.44407178414284365,245681.0,246772.0,1091.0,0.4440717841428519,271.431557334,288.035373693,16.603816359000007,6.1171282079661795,1070.7405,1072.3215,1.5809999999999036,0.14765482392791748,122.8675,123.412,0.5444999999999993,0.44316031497344643,122.4635,123.0075,0.5439999999999969,0.4442139902909822,0.001,0.001,0.0,0.0,0.20586114452483056,0.15703741924118822,-0.048823725283642344,-23.716823976830327,0.003,0.003,0.0,0.0
BS_5,254.57950273657858,269.6539734993865,15.07447076280792,5.921321473553961,350.0,350.0,0.0,0.0,0.7273700078187959,0.7704399242839615,0.04306991646516556,5.921321473553971,0.27262999218120404,0.2295600757160386,-0.04306991646516545,-15.797937754602929,119.289,119.318,0.028999999999996362,0.02431070760924843,238578.0,238636.0,58.0,0.02431070760925148,270.82919896249996,288.14801968349997,17.31882072100001,6.394739115038345,1068.088,1071.0865,2.998499999999922,0.28073529521911317,119.327,119.3295,0.0024999999999977263,0.0020950832586067916,118.9215,118.9055,-0.015999999999991132,-0.013454253436082737,0.001,0.001,0.0,0.0,0.20586114452483056,0.15703741924118822,-0.048823725283642344,-23.716823976830327,0.003,0.003,0.0,0.0
BS_6,254.0172494980797,268.2575153318816,14.240265833801914,5.606023158639691,350.0,350.0,0.0,0.0,0.7257635699945135,0.7664500438053762,0.040686473810862656,5.6060231586396965,0.27423643000548653,0.23354995619462385,-0.04068647381086268,-14.836276059329057,118.1255,118.3195,0.19400000000000261,0.16423210907044,236251.0,236639.0,388.0,0.1642321090704378,270.622439918,287.3046885385,16.68224862049999,6.164399606165253,1069.6925,1069.604,-0.0885000000000673,-0.008273405675001675,118.1435,118.3345,0.1910000000000025,0.16166780229128347,117.737,117.9105,0.1735000000000042,0.14736234148993452,0.001,0.001,0.0,0.0,0.20586114452483056,0.15703741924118822,-0.048823725283642344,-23.716823976830327,0.003,0.003,0.0,0.0
